item,itemLabel,startDate,endDate
,Đuro Cerović,1879-03-08,1882
,Nikola Đ. Matanović,1882,1903-05-24
Q4298572,Lazar Mijušković,1903-06-03,1905-12
Q2404727,Andrija Radović,1905-12-06,1906-11-11
,Mitar Đurović,1906-11-11,1907-01-19
Q2404727,Andrija Radović,1907-01-19,1907-04-04
,Dušan Vukotić,1907-04-04,1910-09-11
Q5448483,Filip Jergović,1910-09-01,1912-06-06
Q656898,Sekula Drljević,1912-06-06,1913-04-25
,Risto Popović,1913-04-25,1915-08-27
,Mirko Mijušković,1915-08-27,1915-12-20
Q2404727,Andrija Radović,1915-12-20,1917-01-04
,Staniša Iljić,1917-01-04,1917-05-29
,Milo Vujović,1917-05-29,1921-03-01
Q6861617,Milutin Vučinić,1921-06-15,1922-09
,Gojko Garčević,1945-04-17,1951-11-07
,Jefto Šćepanović,1951-11-07,1953-02-04
,Vlado Raičević,1953-02-04,1955-05-09
,Nikola Đakonović,1955-05-09,1958-02-15
,Vojin Jauković,1958-04-15,1959-04-08
,Aleksandar Radević,1959-04-08,1962-09-17
,Vlado Jovanović,1962-09-17,1963-06-25
,Mustafa Redžepagić,1963-06-25,1965-04-09
,Dragiša Đoković,1965-04-09,1969-05-07
,Milivoje Drecun,1969-04-08,1974-05-06
,Vuk Ognjanović,1974-05-06,1978-04-28
,Velimir Šljivančanin,1978-04-28,1986-05-06
,Branimir Pajković,1986-05-06,1989-03-29
,Slavko Drljević,1989-03-29,1990-03-21
,Božidar Gazivoda,1990-03-21,1993-10-17
,Predrag Goranović,1994-05-17,1998-07-16
Q6873960,Miroslav Ivanišević,1998-07-16,2004-02-16
Q57746,Igor Lukšić,2004-02-16,2010-12-29
,Milorad Katnić,2010-12-29,2012-12-04
,Radoje Žugić,2012-12-04,2016-05-12
Q80850839,Raško Konjević,2016-05-12,2016-11-28
,Darko Radunović,2016-11-28,2020-12-04
Q101225458,Milojko Spajić,2020-12-04,
